ticker,horizon_days,method,MAE,RMSE,MAPE (%),R2,Direction Acc (%),n
AAPL,1,shared_lstm,2.8221,4.1276,1.19,0.98,54.0,480
AAPL,1,naive_persistence,2.8304,4.1261,1.19,0.98,0.2,480
AAPL,1,moving_average_5,4.7169,6.4228,1.99,0.9517,49.2,480
AAPL,1,moving_average_20,8.2017,10.1741,3.39,0.8787,48.1,480
AAPL,3,shared_lstm,5.3745,7.4968,2.27,0.9353,57.5,480
AAPL,3,naive_persistence,5.427,7.5137,2.29,0.935,0.2,480
AAPL,3,moving_average_5,6.7462,8.8126,2.83,0.9106,48.5,480
AAPL,3,moving_average_20,9.1763,11.4072,3.77,0.8501,48.1,480
AAPL,7,shared_lstm,8.6942,11.1685,3.63,0.8622,57.9,480
AAPL,7,naive_persistence,8.8004,11.2472,3.66,0.8602,0.2,480
AAPL,7,moving_average_5,9.2224,11.6024,3.81,0.8512,51.9,480
AAPL,7,moving_average_20,10.8649,13.4402,4.44,0.8004,52.7,480
MSFT,1,shared_lstm,4.8956,7.0795,1.15,0.9771,52.1,480
MSFT,1,naive_persistence,4.8802,7.0352,1.14,0.9774,0.0,480
MSFT,1,moving_average_5,7.9833,10.5844,1.87,0.9487,46.5,480
MSFT,1,moving_average_20,14.2399,18.5329,3.34,0.8428,47.5,480
MSFT,3,shared_lstm,9.1188,12.5095,2.13,0.9285,52.1,480
MSFT,3,naive_persistence,9.0826,12.3923,2.12,0.9298,0.0,480
MSFT,3,moving_average_5,10.926,14.4245,2.56,0.9049,47.7,480
MSFT,3,moving_average_20,15.9205,20.6784,3.73,0.8045,49.2,480
MSFT,7,shared_lstm,14.0144,18.7405,3.31,0.84,51.9,480
MSFT,7,naive_persistence,13.8928,18.4194,3.26,0.8455,0.0,480
MSFT,7,moving_average_5,14.9626,19.4971,3.51,0.8269,48.8,480
MSFT,7,moving_average_20,18.73,24.3086,4.37,0.7309,55.6,480
GOOGL,1,shared_lstm,3.3104,4.773,1.42,0.996,53.3,480
GOOGL,1,naive_persistence,3.3153,4.7902,1.42,0.996,0.2,480
GOOGL,1,moving_average_5,5.5221,7.4469,2.34,0.9903,48.5,480
GOOGL,1,moving_average_20,10.7564,14.5584,4.41,0.9629,47.9,480
GOOGL,3,shared_lstm,6.2667,8.4655,2.66,0.9876,59.0,480
GOOGL,3,naive_persistence,6.3568,8.5443,2.7,0.9873,0.0,480
GOOGL,3,moving_average_5,7.7011,10.467,3.21,0.981,47.7,480
GOOGL,3,moving_average_20,12.3309,16.619,5.01,0.9521,44.6,480
GOOGL,7,shared_lstm,9.5512,13.3775,3.94,0.9693,60.8,480
GOOGL,7,naive_persistence,9.6782,13.6095,4.0,0.9683,0.0,480
GOOGL,7,moving_average_5,10.7982,14.9223,4.41,0.9618,49.2,480
GOOGL,7,moving_average_20,15.1466,20.3116,6.1,0.9293,46.0,480
AMZN,1,shared_lstm,3.2255,4.3566,1.5,0.9661,53.5,480
AMZN,1,naive_persistence,3.2298,4.351,1.5,0.9662,0.0,480
AMZN,1,moving_average_5,5.0182,6.563,2.33,0.9231,50.2,480
AMZN,1,moving_average_20,8.9499,11.7723,4.12,0.7527,51.5,480
AMZN,3,shared_lstm,5.7462,7.5192,2.66,0.8973,52.9,480
AMZN,3,naive_persistence,5.7436,7.5163,2.66,0.8973,0.0,480
AMZN,3,moving_average_5,6.9324,9.063,3.2,0.8507,48.8,480
AMZN,3,moving_average_20,10.0314,13.2041,4.59,0.6832,54.2,480
AMZN,7,shared_lstm,8.9316,11.7501,4.11,0.7415,56.0,480
AMZN,7,naive_persistence,9.0017,11.7571,4.13,0.7412,0.0,480
AMZN,7,moving_average_5,9.6597,12.6653,4.42,0.6997,51.0,480
AMZN,7,moving_average_20,11.9502,15.6922,5.43,0.539,52.7,480
NVDA,1,shared_lstm,3.2101,4.2606,2.12,0.9833,53.3,480
NVDA,1,naive_persistence,3.2178,4.2597,2.12,0.9833,0.0,480
NVDA,1,moving_average_5,4.8258,6.0826,3.22,0.966,51.5,480
NVDA,1,moving_average_20,7.5126,9.3198,4.99,0.9201,51.9,480
NVDA,3,shared_lstm,5.6108,7.2411,3.72,0.9515,55.8,480
NVDA,3,naive_persistence,5.6406,7.2499,3.74,0.9513,0.0,480
NVDA,3,moving_average_5,6.5161,8.1064,4.35,0.9392,51.0,480
NVDA,3,moving_average_20,8.3596,10.3509,5.5,0.9008,52.7,480
NVDA,7,shared_lstm,8.0355,10.1443,5.35,0.9041,58.1,480
NVDA,7,naive_persistence,8.1282,10.1991,5.4,0.9031,0.0,480
NVDA,7,moving_average_5,8.3546,10.3934,5.53,0.8993,51.7,480
NVDA,7,moving_average_20,9.7917,12.0728,6.35,0.8642,53.8,480
TSLA,1,shared_lstm,9.468,12.4606,2.76,0.9735,51.5,480
TSLA,1,naive_persistence,9.4623,12.4549,2.76,0.9735,0.0,480
TSLA,1,moving_average_5,13.4521,17.6896,3.96,0.9466,50.6,480
TSLA,1,moving_average_20,24.0373,31.1888,7.09,0.834,51.2,480
TSLA,3,shared_lstm,16.087,20.9894,4.74,0.9236,49.6,480
TSLA,3,naive_persistence,16.0221,20.9803,4.71,0.9237,0.0,480
TSLA,3,moving_average_5,18.1626,23.8243,5.33,0.9016,55.8,480
TSLA,3,moving_average_20,26.9181,35.1721,7.89,0.7855,50.6,480
TSLA,7,shared_lstm,23.8177,30.3799,6.99,0.8345,52.1,480
TSLA,7,naive_persistence,23.6938,30.3783,6.95,0.8345,0.0,480
TSLA,7,moving_average_5,25.2907,32.5302,7.42,0.8102,55.4,480
TSLA,7,moving_average_20,31.9139,42.1402,9.24,0.6816,51.0,480
META,1,shared_lstm,9.9003,14.4485,1.59,0.9572,51.5,480
META,1,naive_persistence,9.8829,14.415,1.58,0.9574,0.2,480
