ticker,fold,start_date,end_date,MAE,MAPE (%),Direction Acc (%),n
AAPL,1,2024-08-02,2024-12-17,2.0495,0.91,59.4,96
AAPL,2,2024-12-18,2025-05-08,3.8155,1.78,51.0,96
AAPL,3,2025-05-09,2025-09-25,2.4287,1.11,52.1,96
AAPL,4,2025-09-26,2026-02-12,2.3495,0.89,52.1,96
AAPL,5,2026-02-13,2026-07-02,3.4674,1.25,55.2,96
MSFT,1,2024-08-02,2024-12-17,3.8097,0.92,60.4,96
MSFT,2,2024-12-18,2025-05-08,5.3677,1.35,47.9,96
MSFT,3,2025-05-09,2025-09-25,3.5694,0.72,57.3,96
MSFT,4,2025-09-26,2026-02-12,5.51,1.18,49.0,96
MSFT,5,2026-02-13,2026-07-02,6.2213,1.56,45.8,96
GOOGL,1,2024-08-02,2024-12-17,2.2248,1.32,58.3,96
GOOGL,2,2024-12-18,2025-05-08,2.9818,1.75,46.9,96
GOOGL,3,2025-05-09,2025-09-25,2.3274,1.21,59.4,96
GOOGL,4,2025-09-26,2026-02-12,3.9041,1.32,54.2,96
GOOGL,5,2026-02-13,2026-07-02,5.114,1.5,47.9,96
AMZN,1,2024-08-02,2024-12-17,2.773,1.44,56.2,96
AMZN,2,2024-12-18,2025-05-08,3.6116,1.8,46.9,96
AMZN,3,2025-05-09,2025-09-25,2.7357,1.24,54.2,96
AMZN,4,2025-09-26,2026-02-12,3.404,1.49,53.1,96
AMZN,5,2026-02-13,2026-07-02,3.6034,1.53,57.3,96
NVDA,1,2024-08-02,2024-12-17,2.9654,2.37,54.2,96
NVDA,2,2024-12-18,2025-05-08,3.6832,3.08,52.1,96
NVDA,3,2025-05-09,2025-09-25,2.2924,1.44,58.3,96
NVDA,4,2025-09-26,2026-02-12,3.358,1.81,49.0,96
NVDA,5,2026-02-13,2026-07-02,3.7513,1.89,53.1,96
TSLA,1,2024-08-02,2024-12-17,8.6348,3.06,55.2,96
TSLA,2,2024-12-18,2025-05-08,11.4349,3.73,42.7,96
TSLA,3,2025-05-09,2025-09-25,8.645,2.56,55.2,96
TSLA,4,2025-09-26,2026-02-12,9.7521,2.23,50.0,96
TSLA,5,2026-02-13,2026-07-02,8.873,2.24,54.2,96
META,1,2024-08-02,2024-12-17,6.8856,1.24,52.1,96
META,2,2024-12-18,2025-05-08,11.8566,2.0,54.2,96
META,3,2025-05-09,2025-09-25,9.3208,1.3,49.0,96
